City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,orivesi,61.6777,24.3572,13.21,87,57,2.24,FI,1691715733
314,praia da vitoria,38.7333,-27.0667,23.14,88,40,3.71,PT,1691715733
315,santiago de cao,-7.9589,-79.2392,21.07,83,75,4.63,PE,1691715733
316,gualaceo,-2.9,-78.7833,17.81,95,75,1.68,EC,1691715733
317,fort bragg,35.139,-79.006,28.28,77,20,1.54,US,1691715590
318,pisco,-13.7,-76.2167,20.03,77,100,8.75,PE,1691715536
319,coos bay,43.3665,-124.2179,25.73,64,0,9.77,US,1691715438
320,dalnegorsk,44.5604,135.5701,17.68,99,100,1.23,RU,1691715733
321,chonchi,-42.6128,-73.8092,4.51,90,21,1.96,CL,1691715733
322,suez,29.9737,32.5263,23.5,80,0,4.25,EG,1691715734
323,myanaung,18.2833,95.3167,24.91,91,100,1.2,MM,1691715734
324,west bay,19.3667,-81.4167,31.04,80,20,2.06,KY,1691715734
325,kuqa,41.7278,82.9364,29.77,25,89,1.69,CN,1691715616
326,shimanovsk,52.0,127.7,24.77,45,1,2.89,RU,1691715734
327,prince rupert,54.3161,-130.3201,17.05,85,100,7.72,CA,1691715734
328,stavern,59.0,10.0333,12.4,89,72,2.18,NO,1691715734
329,laguna,38.421,-121.4238,36.29,37,0,5.14,US,1691715734
330,saint-philippe,-21.3585,55.7679,18.77,78,1,2.1,RE,1691715734
331,atar,20.5169,-13.0499,37.55,18,99,8.75,MR,1691715734
332,baiyin,36.5583,104.2081,17.13,86,100,4.91,CN,1691715734
333,yeppoon,-23.1333,150.7333,22.88,55,0,2.59,AU,1691715735
334,barjala,23.6167,91.3667,26.92,97,100,2.94,IN,1691715735
335,undurkhaan,47.3194,110.6556,19.39,73,73,3.6,MN,1691715735
336,gbadolite,4.2833,21.0167,21.05,92,100,0.9,CD,1691715735
337,impfondo,1.6381,18.0667,21.69,97,88,0.39,CG,1691715735
338,guozhen,34.3659,107.359,27.47,82,100,1.21,CN,1691715440
339,mahikeng,-25.8652,25.6442,8.99,71,59,3.6,ZA,1691715735
340,tsiombe,-25.3,45.4833,17.23,56,60,4.15,MG,1691715735
341,kusheriki,10.5328,6.4422,21.5,98,100,1.05,NG,1691715735
342,sitka,57.0531,-135.33,14.52,94,100,1.69,US,1691715735
343,weno,7.4515,151.8468,28.07,74,45,2.6,FM,1691715736
344,tyul'gan,52.3405,56.166,14.61,78,0,3.36,RU,1691715736
345,afif,23.9065,42.9172,27.78,13,7,2.49,SA,1691715736
346,misratah,32.3754,15.0925,24.97,63,0,1.88,LY,1691715736
347,ponta delgada,37.7333,-25.6667,23.4,88,75,3.6,PT,1691715608
348,tura,25.5198,90.2201,24.1,98,100,2.58,IN,1691715736
349,luderitz,-26.6481,15.1594,17.35,64,21,2.05,NA,1691715736
350,nyurba,63.2842,118.3319,22.13,56,100,4.65,RU,1691715736
351,lorengau,-2.0226,147.2712,28.6,73,96,7.43,PG,1691715736
352,micheweni,-4.9667,39.8333,23.22,84,97,5.17,TZ,1691715736
353,vernon,50.2581,-119.2691,25.97,33,25,0.51,CA,1691715665
354,villamontes,-21.25,-63.5,22.66,39,0,1.77,BO,1691715737
355,lai,9.3952,16.2989,21.86,96,100,1.8,TD,1691715737
356,aasiaat,68.7098,-52.8699,3.28,87,100,0.47,GL,1691715737
357,kerikeri,-35.2268,173.9474,13.84,68,5,1.34,NZ,1691715737
358,treasure island,27.7692,-82.769,32.36,70,0,3.09,US,1691715737
359,hirara,24.8,125.2833,29.15,79,75,1.54,JP,1691715737
360,poronaysk,49.2167,143.1167,12.52,97,100,2.41,RU,1691715737
361,santo tome,-31.6627,-60.7653,18.34,90,98,2.9,AR,1691715738
362,kharp,66.8014,65.8081,9.2,81,2,2.19,RU,1691715441
363,yuscaran,13.9333,-86.85,27.58,70,4,1.55,HN,1691715738
